#name	name2
NM_001107478	Zbtb45
NM_001108906	Chmp2a
NM_001108471	Ube2m
NM_053916	Trim28
NM_024143	Slc27a5
NM_001099657	Vom2r34
NM_001099497	Vom2r33
NM_001099473	Vom2r35
NM_001099483	Vom2r36
NR_036047	Mir295-2
NR_036045	Mir295-1
NM_001166763	Vom1r55
NM_001008929	Vom1r56
NM_001008951	Vom1r57
NM_001167552	Vom1r60
NM_001009507	Vom1r58
NM_001008944	Vom1r59
NM_001008935	Vom1r61
NM_001008943	Vom1r62
NM_001024268	Lig1
NM_001145982	Pla2g4c
NM_001108907	Cabp5
NM_001170601	Srp72
NM_131903	Sult2a1
NM_021855	Crx
NM_013027	Sepw1
NM_001024897	Ehd2
NM_001106226	Gltscr1
NM_001108472	Meis3
NM_080585	Napa
NM_078619	Slc8a2
NM_001107457	Kptn
NM_001012063	Sae1
NM_001107479	Npas1
NM_001106227	Tmem160
NM_053919	Ceacam9
NM_001161809	Strn4
NM_001025678	Fkrp
NM_001107480	Strn4
NM_001013895	Prkd2
NM_175758	Slc1a5
NM_001077644	Ptgir
NM_001191947	Dact3
NM_012518	Calm3
NM_001108473	Pnmal1
NM_001107481	Pnmal2
NM_139185	Gng8
NM_001009533	Ccdc8
NM_012525	Cgm4
NM_022528	Hif3a
NM_031729	Ppp5c
NM_001025679	Psg16
NM_012702	Ceacam3
NM_001025641	Psg29
NM_001025404	Ceacam11
NM_001108474	Igfl3
NM_001011931	Mill1
NM_001017468	Micb
NM_053373	Pglyrp1
NM_019126	Psg19
NM_001270654	Psg19
NM_001108908	Nanos2
NM_001109139	Mypop
NM_017077	Foxa3
NM_001107483	Irf2bp1
NM_001109399	Snrpd2
NM_001106230	Qpctl
NM_001025642	Fbxo46
NM_001024748	Rsph6a
NM_001108475	Vasp
NM_138921	Eml2
NM_012714	Gipr
NM_001107486	Opa3
NM_001025680	Gpr4
NR_031777	Mir330
NM_001109416	Cd3eap
NM_001106228	Ercc1
NM_012530	Ckm
NM_138520	Klc3
NM_001256509	Fosb
NM_201562	Rtn2
NR_031787	Mir343
NM_001109410	Trappc6a
NM_001107482	Ppp1r37
NM_001191071	Mark4
NM_212520	Tomm40
NM_138828	Apoe
NM_001109419	Apoc4
NM_012824	Apoc1
NM_001085352	Apoc2
NM_001109996	Apoc1
NM_001106232	Clptm1
NM_138520	Klc3
NM_001270684	Apoe
NM_001270683	Apoe
NM_001270682	Apoe
NM_001270681	Apoe
NM_031752	Bcam
